title,author
SHE DIDN'T SEE IT COMING,Shari Lapena
ACCOMPLICE TO THE VILLAIN,Hannah Nicole Maehrer
THE FALLEN & THE KISS OF DUSK,Carissa Broadbent
SCARRED,Emily McIntire
WE ARE ALL GUILTY HERE,Karin Slaughter
FOR RICHER FOR POORER,Danielle Steel
KISS HER GOODBYE,Lisa Gardner
THE SURROGATE MOTHER,Freida McFadden
THE END OF THE WORLD AS WE KNOW IT,Christopher Golden and Brian Keene
LOVE ARRANGED,Lauren Asher
ON WINGS OF BLOOD,Briar Boleyn
PEOPLE WE MEET ON VACATION,Emily Henry
HEMLOCK & SILVER,T. Kingfisher
KATABASIS,R.F. Kuang
THE COLOR OF DEATH,Trey Gowdy with Christopher Greyson
THE THURSDAY MURDER CLUB,Richard Osman
KISS THE VILLAIN,Rina Kent
PUCKING STRONG,Emily Rath
FRAMED IN DEATH,J.D. Robb
THE HALLMARKED MAN,Robert Galbraith
BILLION-DOLLAR RANSOM,James Patterson and Duane Swierczynski
BUCKEYE,Patrick Ryan
WILD REVERENCE,Rebecca Ross
APOSTLE'S COVE,William Kent Krueger
TOM CLANCY: TERMINAL VELOCITY,M.P. Woodward
DEADLY STORMS,Christine Feehan
LEAVE ME BEHIND,K.M. Moronova
THE SECRET OF SECRETS,Dan Brown
WILD CARD,Elsie Silver
CLOWN TOWN,Mick Herron
LOVER FORBIDDEN,J.R. Ward
PITCHER PERFECT,Tessa Bailey
CLIVE CUSSLER: THE IRON STORM,Jack Du Brul
PEOPLE WATCHING,Hannah Bonam-Young
THE ACADEMY,Elin Hilderbrand and Shelby Cunningham
THE GINGERBREAD BAKERY,Laurie Gilmore
THE LAST LETTER,Rebecca Yarros
AMONG THE BURNING FLOWERS,Samantha Shannon
THE SHATTERING PEACE,John Scalzi
ASSISTANT TO THE VILLAIN,Hannah Nicole Maehrer
ALCHEMISED,SenLinYu
THE PRIMAL OF BLOOD AND BONE,Jennifer L. Armentrout
CIRCLE OF DAYS,Ken Follett
TOURIST SEASON,Brynne Weaver
ONE DARK WINDOW,Rachel Gillig
TWO TWISTED CROWNS,Rachel Gillig
THIS INEVITABLE RUIN,Matt Dinniman
WHAT WE CAN KNOW,Ian McEwan
A SLOWLY DYING CAUSE,Elizabeth George
THE LONELINESS OF SONIA AND SUNNY,Kiran Desai
THE IMPOSSIBLE FORTUNE,Richard Osman
