published_date,title,author,rank,weeks_on_list
2025-02-09,QUICKSILVER,Callie Hart,14,6
2025-02-09,THE NIGHTINGALE,Kristin Hannah,15,69
2025-02-16,ONYX STORM,Rebecca Yarros,1,2
2025-02-16,THE CRASH,Freida McFadden,2,1
2025-02-16,FOURTH WING,Rebecca Yarros,3,80
2025-02-16,IRON FLAME,Rebecca Yarros,4,54
2025-02-16,THE HOUSEMAID,Freida McFadden,5,82
2025-02-16,JAMES,Percival Everett,6,15
2025-02-16,THE NIGHT IS DEFYING,Chloe C. Peñaranda,7,1
2025-02-16,THE FROZEN RIVER,Ariel Lawhon,8,11
2025-02-16,THE WOMEN,Kristin Hannah,9,52
2025-02-16,A COURT OF THORNS AND ROSES,Sarah J. Maas,10,43
2025-02-16,THE HANDMAID'S TALE,Margaret Atwood,11,33
2025-02-16,THE WEDDING PEOPLE,Alison Espach,12,10
2025-02-16,LIGHTS OUT,Navessa Allen,13,6
2025-02-16,THE GOD OF THE WOODS,Liz Moore,14,14
2025-02-16,QUICKSILVER,Callie Hart,15,7
2025-02-23,ONYX STORM,Rebecca Yarros,1,3
2025-02-23,DEEP END,Ali Hazelwood,2,1
2025-02-23,BONDED IN DEATH,J.D. Robb,3,1
2025-02-23,FOURTH WING,Rebecca Yarros,4,81
2025-02-23,THE CRASH,Freida McFadden,5,2
2025-02-23,IRON FLAME,Rebecca Yarros,6,55
2025-02-23,THE HOUSEMAID,Freida McFadden,7,83
2025-02-23,OPEN SEASON,Jonathan Kellerman,8,1
2025-02-23,DREAM GIRL DRAMA,Tessa Bailey,9,1
2025-02-23,JAMES,Percival Everett,10,16
2025-02-23,A COURT OF THORNS AND ROSES,Sarah J. Maas,11,44
2025-02-23,THE FROZEN RIVER,Ariel Lawhon,12,12
2025-02-23,LIGHTS OUT,Navessa Allen,13,7
2025-02-23,THE WEDDING PEOPLE,Alison Espach,14,11
2025-02-23,THE WOMEN,Kristin Hannah,15,53
2025-03-02,ONYX STORM,Rebecca Yarros,1,4
2025-03-02,SCYTHE & SPARROW,Brynne Weaver,2,1
2025-03-02,DEEP END,Ali Hazelwood,3,2
2025-03-02,FOURTH WING,Rebecca Yarros,4,82
2025-03-02,PARANOIA,James Patterson and James O. Born,5,1
2025-03-02,IRON FLAME,Rebecca Yarros,6,56
2025-03-02,THE CRASH,Freida McFadden,7,3
2025-03-02,THE HOUSEMAID,Freida McFadden,8,84
2025-03-02,FIRST-TIME CALLER,B.K. Borison,9,1
2025-03-02,WE ALL LIVE HERE,Jojo Moyes,10,1
2025-03-02,THREE DAYS IN JUNE,Anne Tyler,11,1
2025-03-02,EMILY WILDE'S COMPENDIUM OF LOST TALES,Heather Fawcett,12,1
2025-03-02,QUICKSILVER,Callie Hart,13,8
2025-03-02,THE MEDICI RETURN,Steve Berry,14,1
2025-03-02,JAMES,Percival Everett,15,17
2025-03-09,ONYX STORM,Rebecca Yarros,1,5
2025-03-09,MIDNIGHT BLACK,Mark Greaney,2,1
2025-03-09,THE NIGHTINGALE,Kristin Hannah,3,70
2025-03-09,FOURTH WING,Rebecca Yarros,4,83
2025-03-09,DEEP END,Ali Hazelwood,5,3
2025-03-09,IRON FLAME,Rebecca Yarros,6,57
2025-03-09,THE CRASH,Freida McFadden,7,4
2025-03-09,THE HOUSEMAID,Freida McFadden,8,85
2025-03-09,SCYTHE & SPARROW,Brynne Weaver,9,2
2025-03-09,THE FROZEN RIVER,Ariel Lawhon,10,13
2025-03-09,JAMES,Percival Everett,11,18
2025-03-09,LIGHTS OUT,Navessa Allen,12,8
2025-03-09,A COURT OF THORNS AND ROSES,Sarah J. Maas,13,45
2025-03-09,THE WEDDING PEOPLE,Alison Espach,14,12
2025-03-09,THE WOMEN,Kristin Hannah,15,54
2025-03-16,BATTLE MOUNTAIN,C.J. Box,1,1
2025-03-16,ONYX STORM,Rebecca Yarros,2,6
2025-03-16,FOURTH WING,Rebecca Yarros,3,84
2025-03-16,THE CHARLIE METHOD,Elle Kennedy,4,1
2025-03-16,IRON FLAME,Rebecca Yarros,5,58
2025-03-16,THE NIGHTINGALE,Kristin Hannah,6,71
2025-03-16,DEEP END,Ali Hazelwood,7,4
2025-03-16,THE CRASH,Freida McFadden,8,5
2025-03-16,THE HOUSEMAID,Freida McFadden,9,86
2025-03-16,FUNNY STORY,Emily Henry,10,13
2025-03-16,SCYTHE & SPARROW,Brynne Weaver,11,3
2025-03-16,THE FROZEN RIVER,Ariel Lawhon,12,14
2025-03-16,LIGHTS OUT,Navessa Allen,13,9
2025-03-16,GOD OF FURY,Rina Kent,14,1
2025-03-16,THE WEDDING PEOPLE,Alison Espach,15,13
2025-03-23,ONYX STORM,Rebecca Yarros,1,7
2025-03-23,WILD SIDE,Elsie Silver,2,1
2025-03-23,FOURTH WING,Rebecca Yarros,3,85
2025-03-23,BLOOD MOON,Sandra Brown,4,1
2025-03-23,FAR FROM HOME,Danielle Steel,5,1
2025-03-23,BROKEN COUNTRY,Clare Leslie Hall,6,1
2025-03-23,THE NIGHTINGALE,Kristin Hannah,7,72
2025-03-23,IRON FLAME,Rebecca Yarros,8,59
2025-03-23,THE HOUSEMAID,Freida McFadden,9,87
2025-03-23,THE CRASH,Freida McFadden,10,6
2025-03-23,DEEP END,Ali Hazelwood,11,5
2025-03-23,WARD D,Freida McFadden,12,1
2025-03-23,BATTLE MOUNTAIN,C.J. Box,13,2
2025-03-23,THE FROZEN RIVER,Ariel Lawhon,14,15
2025-03-23,IF CATS DISAPPEARED FROM THE WORLD,Genki Kawamura,15,1
2025-03-30,ONYX STORM,Rebecca Yarros,1,8
2025-03-30,STORY OF MY LIFE,Lucy Score,2,1
2025-03-30,FOURTH WING,Rebecca Yarros,3,86
2025-03-30,BROKEN COUNTRY,Clare Leslie Hall,4,2
2025-03-30,THE HOUSEMAID,Freida McFadden,5,88
2025-03-30,IRON FLAME,Rebecca Yarros,6,60
2025-03-30,WARD D,Freida McFadden,7,2
2025-03-30,THE NIGHTINGALE,Kristin Hannah,8,73
2025-03-30,THE CRASH,Freida McFadden,9,7
2025-03-30,THE FROZEN RIVER,Ariel Lawhon,10,16
2025-03-30,DEEP END,Ali Hazelwood,11,6
2025-03-30,THE WEDDING PEOPLE,Alison Espach,12,14
2025-03-30,LIGHTS OUT,Navessa Allen,13,10
2025-03-30,VERITY,Colleen Hoover,14,95
2025-03-30,WILD SIDE,Elsie Silver,15,2
2025-04-06,ONYX STORM,Rebecca Yarros,1,9
2025-04-06,THE STRAWBERRY PATCH PANCAKE HOUSE,Laurie Gilmore,2,1
2025-04-06,THE WRITER,James Patterson and J.D. Barker,3,1
2025-04-06,FOURTH WING,Rebecca Yarros,4,87
2025-04-06,THE HOUSEMAID,Freida McFadden,5,89
2025-04-06,IRON FLAME,Rebecca Yarros,6,61
2025-04-06,THE NIGHTINGALE,Kristin Hannah,7,74
2025-04-06,STORY OF MY LIFE,Lucy Score,8,2
2025-04-06,WARD D,Freida McFadden,9,3
2025-04-06,BROKEN COUNTRY,Clare Leslie Hall,10,3
